Results index;Item number;Element number;Type;Group;Filler1;Filler2;Det;Noun;Case;Sent_id;Sentence;probability
7;108;2;stimul;1;NULL;NULL;pldet;plnoun;acc;1;Вася взял наши длинный и короткий шланги для полива собственного сада.;
1;61;2;stimul;1;NULL;NULL;pldet;plnoun;acc;2;Сергей раскритиковал мои индивидуальный и групповой подходы после школьного открытого урока.;
3;62;2;stimul;1;NULL;NULL;pldet;plnoun;acc;3;Олег использовал свои депозитный и кредитный договоры для контроля банковских операций.;
9;63;2;stimul;1;NULL;NULL;pldet;plnoun;acc;4;Коля рассмотрел эти древний и современный экспонаты на выставке европейского искусства.;
1;112;2;stimul;1;NULL;NULL;pldet;plnoun;acc;5;Костя опубликовал наши простой и сложный рецепты в своем кулинарном блоге.;
3;113;2;stimul;1;NULL;NULL;pldet;plnoun;acc;6;Антон отметил мои практический и теоретический методы для проведения учебного семинара.;
2;66;2;stimul;1;NULL;NULL;pldet;plnoun;acc;7;Володя отправил свои карандашный и акварельный рисунки на конкурс талантливых иллюстраторов.;
4;67;2;stimul;1;NULL;NULL;pldet;plnoun;acc;8;Семен выучил эти прямой и боковой удары на курсах рукопашного боя.;
51;68;2;stimul;1;NULL;NULL;pldet;plnoun;acc;9;Федя использовал наши острый и пряный соусы при готовке жареного мяса.;
1;69;2;stimul;1;NULL;NULL;pldet;plnoun;acc;10;Андрей установил мои аналоговый и цифровой приборы для измерения динамических параметров.;
3;70;2;stimul;1;NULL;NULL;pldet;plnoun;acc;11;Петр выдвинул свои социальный и политический лозунги на недавнем районном митинге.;
51;119;2;stimul;1;NULL;NULL;pldet;plnoun;acc;12;Филипп изучил эти горный и равнинный пейзажи за время длительного путешествия.;
1;120;2;stimul;1;NULL;NULL;pldet;plnoun;acc;13;Саша съел наши фруктовый и овощной салаты на праздничном семейном застолье.;
3;121;2;stimul;1;NULL;NULL;pldet;plnoun;acc;14;Дима проигнорировал мои белковый и масляный кремы при украшении самодельных пирожных.;
2;74;2;stimul;1;NULL;NULL;pldet;plnoun;acc;15;Эдуард представил свои комедийный и драматический фильмы на известном международном фестивале.;
4;75;2;stimul;1;NULL;NULL;pldet;plnoun;acc;16;Егор купил эти моющий и дезинфицирующий растворы для проведения генеральной уборки.;
51;188;2;stimul;2;NULL;NULL;pldet;plnoun;acc;17;Игорь вколол наши первый и второй компоненты во избежание заболевания коронавирусом.;
1;189;2;stimul;2;NULL;NULL;pldet;plnoun;acc;18;Никита позаимствовал мои пихтовый и пчелиный бальзамы при лечении больных суставов.;
4;238;2;stimul;2;NULL;NULL;pldet;plnoun;acc;19;Глеб дал свои устный и письменный ответы на телевизионном интеллектуальном конкурсе.;
9;191;2;stimul;2;NULL;NULL;pldet;plnoun;acc;20;Илья завязал эти марлевый и эластичный бинты для фиксации поврежденной руки.;
1;240;2;stimul;2;NULL;NULL;pldet;plnoun;acc;21;Алексей упомянул наши квартальный и годовой отчеты на итоговом рабочем совещании.;
3;241;2;stimul;2;NULL;NULL;pldet;plnoun;acc;22;Вячеслав обдумал мои устный и стендовый доклады в свете актуальных проблем.;
2;194;2;stimul;2;NULL;NULL;pldet;plnoun;acc;23;Валерий провел свои архитектурный и инженерный расчеты для нового строящегося объекта.;
4;195;2;stimul;2;NULL;NULL;pldet;plnoun;acc;24;Ваня примерил эти синий и коричневый костюмы в магазине свадебной одежды.;
19;196;2;stimul;2;NULL;NULL;pldet;plnoun;acc;25;Кирилл исследовал наши московский и петербургский театры для выполнения проектной работы.;
1;197;2;stimul;2;NULL;NULL;pldet;plnoun;acc;26;Захар выслушал мои детский и подростковый рассказы на конкурсе молодых писателей.;
3;198;2;stimul;2;NULL;NULL;pldet;plnoun;acc;27;Паша развернул свои напечатанный и нарисованный плакаты перед всеми остальными одноклассниками.;
9;199;2;stimul;2;NULL;NULL;pldet;plnoun;acc;28;Григорий одолел эти региональный и международный проекты для решения экономических задач.;
23;200;2;stimul;2;NULL;NULL;pldet;plnoun;acc;29;Виталик распланировал наши будний и выходной дни для плодотворного совместного досуга.;
7;201;2;stimul;2;NULL;NULL;pldet;plnoun;acc;30;Женя нанёс мои цветочный и медовый гели после тяжелого рабочего дня.;
2;202;2;stimul;2;NULL;NULL;pldet;plnoun;acc;31;Анатолий настроил свои новый и старый измерители для сравнения полученных показаний.;
4;203;2;stimul;2;NULL;NULL;pldet;plnoun;acc;32;Родион приобрел эти российский и иностранный автомобили для своей большой семьи.;
2;92;2;stimul;1;NULL;NULL;pldet;sgnoun;acc;1;Вася взял наши длинный и короткий шланг для полива собственного сада.;
4;93;2;stimul;1;NULL;NULL;pldet;sgnoun;acc;2;Сергей раскритиковал мои индивидуальный и групповой подход после школьного открытого урока.;
19;94;2;stimul;1;NULL;NULL;pldet;sgnoun;acc;3;Олег использовал свои депозитный и кредитный договор для контроля банковских операций.;
1;95;2;stimul;1;NULL;NULL;pldet;sgnoun;acc;4;Коля рассмотрел эти древний и современный экспонат на выставке европейского искусства.;
3;96;2;stimul;1;NULL;NULL;pldet;sgnoun;acc;5;Костя опубликовал наши простой и сложный рецепт в своем кулинарном блоге.;
9;97;2;stimul;1;NULL;NULL;pldet;sgnoun;acc;6;Антон отметил мои практический и теоретический метод для проведения учебного семинара.;
23;98;2;stimul;1;NULL;NULL;pldet;sgnoun;acc;7;Володя отправил свои карандашный и акварельный рисунок на конкурс талантливых иллюстраторов.;
7;99;2;stimul;1;NULL;NULL;pldet;sgnoun;acc;8;Семен выучил эти прямой и боковой удар на курсах рукопашного боя.;
2;100;2;stimul;1;NULL;NULL;pldet;sgnoun;acc;9;Федя использовал наши острый и пряный соус при готовке жареного мяса.;
4;101;2;stimul;1;NULL;NULL;pldet;sgnoun;acc;10;Андрей установил мои аналоговый и цифровой прибор для измерения динамических параметров.;
19;102;2;stimul;1;NULL;NULL;pldet;sgnoun;acc;11;Петр выдвинул свои социальный и политический лозунг на недавнем районном митинге.;
1;103;2;stimul;1;NULL;NULL;pldet;sgnoun;acc;12;Филипп изучил эти горный и равнинный пейзаж за время длительного путешествия.;
3;104;2;stimul;1;NULL;NULL;pldet;sgnoun;acc;13;Саша съел наши фруктовый и овощной салат на праздничном семейном застолье.;
9;105;2;stimul;1;NULL;NULL;pldet;sgnoun;acc;14;Дима проигнорировал мои белковый и масляный крем при украшении самодельных пирожных.;
23;106;2;stimul;1;NULL;NULL;pldet;sgnoun;acc;15;Эдуард представил свои комедийный и драматический фильм на известном международном фестивале.;
7;107;2;stimul;1;NULL;NULL;pldet;sgnoun;acc;16;Егор купил эти моющий и дезинфицирующий раствор для проведения генеральной уборки.;
2;220;2;stimul;2;NULL;NULL;pldet;sgnoun;acc;17;Игорь вколол наши первый и второй компонент во избежание заболевания коронавирусом.;
4;221;2;stimul;2;NULL;NULL;pldet;sgnoun;acc;18;Никита позаимствовал мои пихтовый и пчелиный бальзам при лечении больных суставов.;
19;222;2;stimul;2;NULL;NULL;pldet;sgnoun;acc;19;Глеб дал свои устный и письменный ответ на телевизионном интеллектуальном конкурсе.;
1;223;2;stimul;2;NULL;NULL;pldet;sgnoun;acc;20;Илья завязал эти марлевый и эластичный бинт для фиксации поврежденной руки.;
3;224;2;stimul;2;NULL;NULL;pldet;sgnoun;acc;21;Алексей упомянул наши квартальный и годовой отчет на итоговом рабочем совещании.;
9;225;2;stimul;2;NULL;NULL;pldet;sgnoun;acc;22;Вячеслав обдумал мои устный и стендовый доклад в свете актуальных проблем.;
23;226;2;stimul;2;NULL;NULL;pldet;sgnoun;acc;23;Валерий провел свои архитектурный и инженерный расчет для нового строящегося объекта.;
7;227;2;stimul;2;NULL;NULL;pldet;sgnoun;acc;24;Ваня примерил эти синий и коричневый костюм в магазине свадебной одежды.;
2;228;2;stimul;2;NULL;NULL;pldet;sgnoun;acc;25;Кирилл исследовал наши московский и петербургский театр для выполнения проектной работы.;
4;229;2;stimul;2;NULL;NULL;pldet;sgnoun;acc;26;Захар выслушал мои детский и подростковый рассказ на конкурсе молодых писателей.;
19;230;2;stimul;2;NULL;NULL;pldet;sgnoun;acc;27;Паша развернул свои напечатанный и нарисованный плакат перед всеми остальными одноклассниками.;
1;231;2;stimul;2;NULL;NULL;pldet;sgnoun;acc;28;Григорий одолел эти региональный и международный проект для решения экономических задач.;
4;152;2;stimul;2;NULL;NULL;pldet;sgnoun;acc;29;Виталик распланировал наши будний и выходной день для плодотворного совместного досуга.;
19;153;2;stimul;2;NULL;NULL;pldet;sgnoun;acc;30;Женя нанёс мои цветочный и медовый гель после тяжелого рабочего дня.;
1;154;2;stimul;2;NULL;NULL;pldet;sgnoun;acc;31;Анатолий настроил свои новый и старый измеритель для сравнения полученных показаний.;
1;171;2;stimul;2;NULL;NULL;pldet;sgnoun;acc;32;Родион приобрел эти российский и иностранный автомобиль для своей большой семьи.;
7;108;2;stimul;1;NULL;NULL;sgdet;plnoun;acc;1;Вася взял наш длинный и короткий шланги для полива собственного сада.;
1;61;2;stimul;1;NULL;NULL;sgdet;plnoun;acc;2;Сергей раскритиковал мой индивидуальный и групповой подходы после школьного открытого урока.;
3;62;2;stimul;1;NULL;NULL;sgdet;plnoun;acc;3;Олег использовал свой депозитный и кредитный договоры для контроля банковских операций.;
9;63;2;stimul;1;NULL;NULL;sgdet;plnoun;acc;4;Коля рассмотрел этот древний и современный экспонаты на выставке европейского искусства.;
1;112;2;stimul;1;NULL;NULL;sgdet;plnoun;acc;5;Костя опубликовал наш простой и сложный рецепты в своем кулинарном блоге.;
3;113;2;stimul;1;NULL;NULL;sgdet;plnoun;acc;6;Антон отметил мой практический и теоретический методы для проведения учебного семинара.;
3;113;2;stimul;1;NULL;NULL;sgdet;plnoun;acc;7;Володя отправил свой карандашный и акварельный рисунки на конкурс талантливых иллюстраторов.;
4;67;2;stimul;1;NULL;NULL;sgdet;plnoun;acc;8;Семен выучил этот прямой и боковой удары на курсах рукопашного боя.;
51;68;2;stimul;1;NULL;NULL;sgdet;plnoun;acc;9;Федя использовал наш острый и пряный соусы при готовке жареного мяса.;
1;69;2;stimul;1;NULL;NULL;sgdet;plnoun;acc;10;Андрей установил мой аналоговый и цифровой приборы для измерения динамических параметров.;
3;70;2;stimul;1;NULL;NULL;sgdet;plnoun;acc;11;Петр выдвинул свой социальный и политический лозунги на недавнем районном митинге.;
51;119;2;stimul;1;NULL;NULL;sgdet;plnoun;acc;12;Филипп изучил этот горный и равнинный пейзажи за время длительного путешествия.;
1;120;2;stimul;1;NULL;NULL;sgdet;plnoun;acc;13;Саша съел наш фруктовый и овощной салаты на праздничном семейном застолье.;
3;121;2;stimul;1;NULL;NULL;sgdet;plnoun;acc;14;Дима проигнорировал мой белковый и масляный кремы при украшении самодельных пирожных.;
2;74;2;stimul;1;NULL;NULL;sgdet;plnoun;acc;15;Эдуард представил свой комедийный и драматический фильмы на известном международном фестивале.;
4;75;2;stimul;1;NULL;NULL;sgdet;plnoun;acc;16;Егор купил этот моющий и дезинфицирующий растворы для проведения генеральной уборки.;
51;188;2;stimul;2;NULL;NULL;sgdet;plnoun;acc;17;Игорь вколол наш первый и второй компоненты во избежание заболевания коронавирусом.;
1;189;2;stimul;2;NULL;NULL;sgdet;plnoun;acc;18;Никита позаимствовал мой пихтовый и пчелиный бальзамы при лечении больных суставов.;
4;238;2;stimul;2;NULL;NULL;sgdet;plnoun;acc;19;Глеб дал свой устный и письменный ответы на телевизионном интеллектуальном конкурсе.;
9;191;2;stimul;2;NULL;NULL;sgdet;plnoun;acc;20;Илья завязал этот марлевый и эластичный бинты для фиксации поврежденной руки.;
1;240;2;stimul;2;NULL;NULL;sgdet;plnoun;acc;21;Алексей упомянул наш квартальный и годовой отчеты на итоговом рабочем совещании.;
3;241;2;stimul;2;NULL;NULL;sgdet;plnoun;acc;22;Вячеслав обдумал мой устный и стендовый доклады в свете актуальных проблем.;
2;194;2;stimul;2;NULL;NULL;sgdet;plnoun;acc;23;Валерий провел свой архитектурный и инженерный расчеты для нового строящегося объекта.;
23;243;2;stimul;2;NULL;NULL;sgdet;plnoun;acc;24;Ваня примерил этот синий и коричневый костюмы в магазине свадебной одежды.;
7;244;2;stimul;2;NULL;NULL;sgdet;plnoun;acc;25;Кирилл исследовал наш московский и петербургский театры для выполнения проектной работы.;
2;245;2;stimul;2;NULL;NULL;sgdet;plnoun;acc;26;Захар выслушал мой детский и подростковый рассказы на конкурсе молодых писателей.;
4;246;2;stimul;2;NULL;NULL;sgdet;plnoun;acc;27;Паша развернул свой напечатанный и нарисованный плакаты перед всеми остальными одноклассниками.;
19;247;2;stimul;2;NULL;NULL;sgdet;plnoun;acc;28;Григорий одолел этот региональный и международный проекты для решения экономических задач.;
1;248;2;stimul;2;NULL;NULL;sgdet;plnoun;acc;29;Виталик распланировал наш будний и выходной дни для плодотворного совместного досуга.;
3;249;2;stimul;2;NULL;NULL;sgdet;plnoun;acc;30;Женя нанёс мой цветочный и медовый гели после тяжелого рабочего дня.;
9;250;2;stimul;2;NULL;NULL;sgdet;plnoun;acc;31;Анатолий настроил свой новый и старый измерители для сравнения полученных показаний.;
4;203;2;stimul;2;NULL;NULL;sgdet;plnoun;acc;32;Родион приобрел этот российский и иностранный автомобили для своей большой семьи.;
9;12;2;stimul;1;NULL;NULL;sgdet;sgnoun;acc;1;Вася взял наш длинный и короткий шланг для полива собственного сада.;
23;13;2;stimul;1;NULL;NULL;sgdet;sgnoun;acc;2;Сергей раскритиковал мой индивидуальный и групповой подход после школьного открытого урока.;
7;14;2;stimul;1;NULL;NULL;sgdet;sgnoun;acc;3;Олег использовал свой депозитный и кредитный договор для контроля банковских операций.;
2;15;2;stimul;1;NULL;NULL;sgdet;sgnoun;acc;4;Коля рассмотрел этот древний и современный экспонат на выставке европейского искусства.;
4;16;2;stimul;1;NULL;NULL;sgdet;sgnoun;acc;5;Костя опубликовал наш простой и сложный рецепт в своем кулинарном блоге.;
19;17;2;stimul;1;NULL;NULL;sgdet;sgnoun;acc;6;Антон отметил мой практический и теоретический метод для проведения учебного семинара.;
1;18;2;stimul;1;NULL;NULL;sgdet;sgnoun;acc;7;Володя отправил свой карандашный и акварельный рисунок на конкурс талантливых иллюстраторов.;
3;19;2;stimul;1;NULL;NULL;sgdet;sgnoun;acc;8;Семен выучил этот прямой и боковой удар на курсах рукопашного боя.;
9;20;2;stimul;1;NULL;NULL;sgdet;sgnoun;acc;9;Федя использовал наш острый и пряный соус при готовке жареного мяса.;
